"DataType","Date","Time","Category","Value","LiquidType","Notes"
"Hydration","2025-07-18","11:11 PM","Liquid Intake","124oz","Water",""
"Hydration","2025-07-19","08:07 AM","Liquid Intake","24oz","Water",""
"Hydration","2025-07-19","08:43 AM","Liquid Intake","12oz","Coffee",""
"Hydration","2025-07-19","01:18 PM","Liquid Intake","36oz","Water",""
"Hydration","2025-07-19","05:16 PM","Liquid Intake","36oz","Water",""
"Hydration","2025-07-19","05:16 PM","Liquid Intake","24oz","Coffee",""
"Hydration","2025-07-19","08:54 PM","Liquid Intake","48oz","Water",""
"Hydration","2025-07-19","09:30 PM","Liquid Intake","16oz","Water",""
"Hydration","2025-07-19","09:48 PM","Liquid Intake","20oz","Water",""
"Hydration","2025-07-19","11:18 PM","Liquid Intake","24oz","Protein shake",""
"Hydration","2025-07-20","09:34 AM","Liquid Intake","36oz","Water",""
"Hydration","2025-07-20","11:20 AM","Liquid Intake","12oz","Coffee",""
"Hydration","2025-07-20","01:43 PM","Liquid Intake","12oz","Coffee",""
"Hydration","2025-07-20","01:54 PM","Liquid Intake","36oz","Water",""
"Hydration","2025-07-20","04:00 PM","Liquid Intake","36oz","Water",""
"Hydration","2025-07-20","08:39 PM","Liquid Intake","36oz","Water",""
"Hydration","2025-07-20","09:33 PM","Liquid Intake","24oz","Protein Shake",""
"Meditation","7/18/2025","10:20 AM","Session","1min","","Incomplete"
"Meditation","7/18/2025","10:15 AM","Session","1min","","Incomplete"
"Meditation","7/18/2025","09:59 AM","Session","1min","","Incomplete"
"Meditation","7/18/2025","09:53 AM","Session","1min","","Incomplete"
"Fasting","0","","Intermittent Fast","795hrs","","Start: 22:15, End: 11:30"
"Fasting","1","","Intermittent Fast","840hrs","","Start: 19:30, End: 09:30"
"Fasting","2","","Intermittent Fast","690hrs","","Start: 20:30, End: 08:00"
"Goal","","","Hydration","128oz/day","",""
"Goal","","","Fasting","16hrs/day","",""
"Goal","","","Weight","220lbs","",""
"Metadata","2025-07-21","10:34:01 AM","Export","Complete","","FitCircle Data Export"